Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2K7xn816oNHJZ0aVqdQsha,"Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,84,11146410335,2024-04-29T17:28:47Z,"modern alternative rock,modern rock,pop","Columbia",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
3kQfBtkQqgN1fAMfhks8TU,"Need 2","Everything So Far","Pinegrove",2015-10-15,191796,78,11146410335,2024-04-29T17:28:35Z,"countrygaze,new jersey indie,small room","Run For Cover Records",0.552,0.634,1,-8.302,0,0.0261,0.00994,0.202,0.0798,0.213,76.557,4
6QeYSvYqYUsfBzsApbjDHO,"Cigarettes out the Window","Who Really Cares","TV Girl",2016-02-25,198960,84,11146410335,2024-04-29T17:28:35Z,"pov: indie","TV Girl",0.625,0.659,0,-5.669,1,0.0337,0.12,0,0.17,0.594,113.551,4
0XgRWgcs0Pcr9PSIdFWD4N,"Clay Pigeons","True That","Michael Cera",2014-08-14,186000,69,11146410335,2024-04-29T17:28:47Z,"canadian indie folk,small room","Michael Cera",0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,4
1BeNZQORyV0jEF2toAmrsA,"Don't Move","Nightlife","Phantogram",2011,258186,56,11146410335,2024-04-29T17:29:37Z,"indietronica,metropopolis,neo-synthpop","Barsuk Records",0.56,0.64,5,-5.209,0,0.0318,0.0000732,0.00699,0.201,0.474,99.989,4
78Gzxi27GuNHTfkn2BylG4,"What Ever Happened?","Room On Fire","The Strokes",2003-10-28,169506,59,11146410335,2024-04-29T17:30:13Z,"alternative rock,garage rock,modern rock,permanent wave,rock","RCA Records Label",0.547,0.596,11,-6.044,1,0.0339,0.0000802,0.739,0.273,0.584,116.17,4
7BSadtswKNAyWfiuHZNeih,"The Fool","In the Aeroplane Over the Sea","Neutral Milk Hotel",1998-02-20,113146,48,11146410335,2024-04-29T17:30:13Z,"alternative rock,chamber pop,elephant 6,indie rock,lo-fi,noise pop,slacker rock","Merge Records",0.283,0.683,2,-4.907,0,0.0303,0.0557,0.846,0.529,0.308,109.766,3
2pqoh1jUQoppztoQRRGyKK,"Punk Rock Loser","Cave World","Viagra Boys",2022-07-08,237980,52,11146410335,2024-04-29T17:30:13Z,"crank wave,stockholm indie","YEAR0001",0.693,0.84,7,-4.222,1,0.0563,0.104,0.0115,0.145,0.91,118.039,4
3znapZvsInnCVsDERDUaM5,"Some Girls Are Bigger Than Others - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,197800,58,11146410335,2024-04-29T17:30:13Z,"madchester,new wave,permanent wave,rock,uk post-punk","WM UK",0.525,0.927,1,-9.561,0,0.0547,0.0025,0.000799,0.216,0.308,161.798,4
6IM45SqAURH6PrvziDs1RQ,"Why Won't They Talk To Me?","Lonerism","Tame Impala",2012-01-01,286093,53,11146410335,2024-04-29T17:30:13Z,"australian psych,modern rock,neo-psychedelic,rock","Modular",0.516,0.871,7,-5.21,1,0.0503,0.553,0.0282,0.0841,0.17,129.946,4
2a2MbiJN2skOxohykOVcss,"Solitude Is Bliss","InnerSpeaker","Tame Impala",2010-05-21,235866,54,11146410335,2024-04-29T17:30:13Z,"australian psych,modern rock,neo-psychedelic,rock","Universal Music Australia Pty. Ltd.",0.588,0.849,4,-5.027,0,0.0596,0.00811,0.000161,0.131,0.629,104.012,4
5cIWkWH6xVdEllQ9ksuu2E,"Sun","Beacon","Two Door Cinema Club",2012-09-03,187720,58,11146410335,2024-04-29T17:30:13Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie","Kitsune",0.647,0.533,4,-5.464,0,0.0281,0.0112,0.000277,0.106,0.639,96.981,4
